user_id,signup_date,first_purchase_date,avg_spin_amt,rtp_ratio,ggr_amt,logins_first_96h,total_bet_txn,max_purchase_amt_horly,max_redeem_amt_hourly,sum_redeem_txn,cnt_txn_total,sum_spin_sc,sum_spin_cc,max_eod_sc_balance,sum_bonus_wheel,sum_bonus_plinko,sum_offer_amt,sum_bonus_amt,sum_daily_mission,sum_leaderboard_reward,first_purchase_amt,days_of_activity,max_bet_amt,min_bet_amount,max_win_amt,avg_rounds_bet,avg_bet_amt,max_daily_games_unique,sum_bonus_promotion_bet_amount,signup_email_domain_gmail,signup_email_domain_icloud,signup_email_domain_other,signup_email_domain_privaterelay,signup_email_domain_yahoo,channel_app,channel_facebook,channel_google,channel_invite friend,channel_other,channel_sidelines,first_geo_region_california,first_geo_region_florida,first_geo_region_georgia,first_geo_region_illinois,first_geo_region_other,first_geo_region_texas,signup_platform_app,signup_platform_web,ln_total_bet_amt,ln_total_win_amt_sc,ln_total_win_amt_cc,ln_sum_redeem_amt,ln_sum_amt_total,ln_sum_sc_coin_total,time_diff_minutes,probability_positive_class,potential_vip_ind
930953,2024-09-25 00:36:58.763000+00:00,2024-09-25 00:42:53.822000+00:00,0.842,0.931,-720.0,22,12411,149.98,0.0,0,12,22,1,0.89,0.5,0.0,152.97,127.0,0.0,0.0,24.99,3.0,62.5,0.2,275.48,4137.0,3483.4166666666656,38.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,9.254357257392966,9.18296917518006,14.999015313650347,-23.025850929940457,6.384992017643272,6.520621127558844,0.0986275,0.94299495,1
327004,2024-04-14 09:31:53.250000+00:00,2024-09-26 14:53:30.807000+00:00,1.055,0.956,-129.0,26,2813,99.99,200.0,3,13,19,0,12.64,0.5,0.0,26.99,113.0,15.0,0.0,19.99,4.0,1.5,0.2,146.7,703.25,741.8125,10.0,1073.4499999999998,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,7.995306620290855,7.9508548577200235,-23.025850929940457,6.109247582764588,6.146050846325263,6.194405391104876,3965.3604325,0.9216961,1
938501,2024-09-26 04:23:39.411000+00:00,2024-09-26 05:28:59.242000+00:00,3.042,0.865,-886.0,9,2161,305.96,0.0,0,15,9,2,0.17,0.25,0.0,133.97,116.0,5.0,0.0,23.99,2.0,100.0,0.1,501.76,1080.5,3286.6499999999996,20.0,657.68,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,8.79072562826359,8.646113971483095,17.789317042885607,-23.025850929940457,6.638371434811863,6.731018100482203,1.0888419444444444,0.91255194,1
881769,2024-09-16 12:16:24.299000+00:00,2024-09-24 17:43:15.719000+00:00,0.336,0.77,-588.0,19,7622,69.98,0.0,0,20,15,1,178.95,0.0,5.4,5.99,38.0,6.0,0.0,5.99,4.0,1.0,0.05,180.95,2704.0,904.4749999999999,13.0,655.86,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,7.847762537473647,7.586803535162631,-23.025850929940457,-23.025850929940457,6.311371766854681,6.354370040797525,197.44761666666668,,0
906635,2024-09-20 19:04:09.153000+00:00,2024-09-25 01:43:51.725000+00:00,0.886,0.965,-699.0,53,22786,349.95,500.0,4,61,46,0,92.04,0.5,0.0,76.96,113.0,0.0,0.0,4.99,4.0,5.0,0.2,534.4,4904.4,4383.440000000002,27.0,6524.43,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,9.912645490320898,9.877400217772815,-23.025850929940457,6.776221889020402,7.28714331658025,7.329749689041577,102.66182555555555,0.9957898,1
930645,2024-09-24 23:40:10.779000+00:00,2024-09-24 23:44:29.592000+00:00,4.565,0.875,-1662.0,16,2921,199.98,0.0,0,18,13,0,105.08,0.5,0.0,130.98,182.0,28.0,0.0,23.99,3.0,260.0,0.1,818.3,805.5,3532.9375,9.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,9.498072443178012,9.36494809020263,-23.025850929940457,-23.025850929940457,7.300351267381005,7.374629015219008,0.0718925,0.99579346,1
940595,2024-09-26 13:27:21.826000+00:00,2024-09-26 13:38:03.181000+00:00,0.903,1.045,203.0,23,5029,89.92999999999999,300.0,3,31,21,1,0.99,0.15,1.6999999999999997,133.95,54.0,0.0,0.0,19.99,3.0,1.2,0.2,390.4,1676.3333333333333,1514.5666666666662,50.0,1585.17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,8.42156296040101,8.46505743699573,9.104979856318367,6.620073206530489,6.201907789844162,6.2803958389603824,0.17815416666666667,0.95502985,1
940261,2024-09-26 11:37:27.083000+00:00,2024-09-26 11:42:46.849000+00:00,3.734,0.902,-583.0,10,1591,105.98,0.0,0,10,9,1,1.95,0.15,0.0,133.97,99.0,0.0,0.0,49.99,3.0,10.0,1.0,546.0,530.3333333333334,1980.0,13.0,40.599999999999994,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,8.689464412356708,8.58615939588098,-23.025850929940457,-23.025850929940457,6.181878273799479,6.298949246856126,0.0888238888888889,,0
935552,2024-09-25 19:29:45.721000+00:00,2024-09-26 17:05:44.587000+00:00,0.718,0.911,-604.0,28,9403,59.97,0.0,0,24,21,1,2.15,0.0,8.5,15.99,73.0,3.0,0.0,15.99,4.0,10.0,0.1,507.5,2350.75,1688.2475000000009,48.0,1968.240000000001,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,8.817742129574857,8.724044745953487,16.00156183470237,-23.025850929940457,6.274309941668424,6.317164686747464,21.599684999999997,0.9522251,1
917591,2024-09-22 19:53:00.333000+00:00,2024-09-25 01:59:02.610000+00:00,1.411,0.739,-749.0,8,2036,149.97,0.0,0,11,8,0,4.46,0.0,0.0,0.0,45.0,0.0,0.0,49.99,3.0,3.0,1.0,150.0,678.6666666666666,957.7666666666668,12.0,15.850000000000001,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,7.963112058979324,7.661527081358564,-23.025850929940457,-23.025850929940457,6.550923179838172,6.594413459749916,54.1006325,,0
