iter	Logloss
0	0.6840502703
1	0.6751905765
2	0.6664779503
3	0.6580764441
4	0.6502903238
5	0.6417931937
6	0.6336561995
7	0.6257455891
8	0.618220201
9	0.6108394193
10	0.6035283135
11	0.5960369487
12	0.5885071261
13	0.5815560994
14	0.5749982404
15	0.5685849332
16	0.5625604541
17	0.5558863005
18	0.5501954537
19	0.5442475621
20	0.5386642637
21	0.5337916575
22	0.5280886215
23	0.5228878848
24	0.5178471818
25	0.5133428877
26	0.5088073588
27	0.5042118635
28	0.4989940655
29	0.4945131029
30	0.4903355082
31	0.4858644007
32	0.4819025108
33	0.4781442503
34	0.4742675556
35	0.4703113721
36	0.4665714947
37	0.462732683
38	0.459173379
39	0.4559076575
40	0.4524487195
41	0.448908781
42	0.4458395613
43	0.4423978289
44	0.4392924835
45	0.4365015974
46	0.4333278319
47	0.4302847742
48	0.4277711987
49	0.4252448637
50	0.4226196307
51	0.4200295502
52	0.4173422198
53	0.4148852869
54	0.412535134
55	0.4102415087
56	0.4079240807
57	0.4060661259
58	0.4039802084
59	0.4018748671
60	0.3997827189
61	0.3973053328
62	0.3954858975
63	0.3933670859
64	0.3915641048
65	0.3896671415
66	0.3882538624
67	0.3865169985
68	0.3851658384
69	0.3834525288
70	0.3818817254
71	0.3802510267
72	0.3786037137
73	0.3769891234
74	0.3752357672
75	0.3738072287
76	0.3723385499
77	0.3711531615
78	0.369780798
79	0.3685076669
80	0.3672345144
81	0.3659822305
82	0.3646283045
83	0.3634243774
84	0.362339956
85	0.3611798127
86	0.3600447231
87	0.3589433769
88	0.3578334131
89	0.3567781779
90	0.3558200602
91	0.3547610314
92	0.3537632888
93	0.3528533076
94	0.3517042241
95	0.3507903173
96	0.3497056081
97	0.3486761513
98	0.3477683969
99	0.3469600425
100	0.3461705377
101	0.3453290721
102	0.3445001773
103	0.343686975
104	0.3428958935
105	0.3420848477
106	0.3413746024
107	0.3407059675
108	0.3400193336
109	0.3392453156
110	0.3384914838
111	0.3375505458
112	0.3366569724
113	0.3359167854
114	0.3352488829
115	0.3344287972
116	0.3338655237
117	0.3332042282
118	0.3325160725
119	0.3319556354
120	0.3311320683
121	0.330623856
122	0.3299652463
123	0.3294533708
124	0.328857926
125	0.3283229107
126	0.3277875573
127	0.3270363
128	0.3265867672
129	0.3260226929
130	0.3255909133
131	0.3251488784
132	0.3246678625
133	0.3241863172
134	0.3238468347
135	0.323372493
136	0.3229711679
137	0.322528182
138	0.3220989282
139	0.3217097689
140	0.3211929543
141	0.3207069896
142	0.3201385183
143	0.3198581056
144	0.3193998972
145	0.3190560083
146	0.318758936
147	0.3183918506
148	0.3180889951
149	0.3177152006
150	0.3173456255
151	0.316916254
152	0.3165683587
153	0.3163024591
154	0.3158857584
155	0.3155720804
156	0.3153009445
157	0.3149842867
158	0.3146950431
159	0.3144154696
160	0.3141111939
161	0.3137874578
162	0.3135369795
163	0.3133238806
164	0.3130449637
165	0.3127931972
166	0.312452371
167	0.3121850404
168	0.311983622
169	0.3117767103
170	0.3114069337
171	0.3111686014
172	0.3109355679
173	0.3106533945
174	0.3104369942
175	0.3102323877
176	0.3099863702
177	0.309579083
178	0.3093290857
179	0.3090789038
180	0.3089018342
181	0.3087165921
182	0.3085252286
183	0.3082995053
184	0.3080617051
185	0.3078371837
186	0.3076537279
187	0.3074656242
188	0.3072722526
189	0.3070851013
190	0.3067674709
191	0.3066280216
192	0.3064285849
193	0.3062686185
194	0.3060915119
195	0.3059251582
196	0.3057573771
197	0.3055863342
198	0.3054029947
199	0.3051861285
200	0.3049973196
201	0.3048465641
202	0.3047281455
203	0.3045575427
204	0.3044180141
205	0.3042782014
206	0.3041373044
207	0.3039817676
208	0.3038824505
209	0.3037819707
210	0.3036127948
211	0.3034817903
212	0.303351992
213	0.3031830253
214	0.3030376656
215	0.3029504978
216	0.3028289157
217	0.3026702359
218	0.3025442254
219	0.3024260223
220	0.3022675864
221	0.3021472078
222	0.3020125557
223	0.3018393731
224	0.301725476
225	0.3015883014
226	0.3014601505
227	0.3013273638
228	0.3012161483
229	0.3010805394
230	0.3009502543
231	0.3008299934
232	0.300730792
233	0.3006128168
234	0.3005250717
235	0.3003437052
236	0.3002623488
237	0.3001313223
238	0.2998845235
239	0.2997874982
240	0.2996886721
241	0.2995917782
242	0.2993958353
243	0.2992868322
244	0.2991956928
245	0.2990822148
246	0.298929559
247	0.2988457271
248	0.2986879657
249	0.2985712579
250	0.2984647271
251	0.2983889494
252	0.2983129652
253	0.2982102625
254	0.2980800177
255	0.2979945942
256	0.2979155825
257	0.2978290914
258	0.2977189205
259	0.2976502346
260	0.2975722284
261	0.2974765632
262	0.2974059158
263	0.2973014816
264	0.2971178253
265	0.2970694462
266	0.2969823209
267	0.2969068731
268	0.2968141668
269	0.2967515567
270	0.2966679038
271	0.2965846523
272	0.2965158555
273	0.2964280343
274	0.2963252486
275	0.2962405773
276	0.296119629
277	0.2960466308
278	0.2959173517
279	0.2958261062
280	0.2957650485
281	0.2956771346
282	0.2955950723
283	0.2955080884
284	0.2954267209
285	0.2953545487
286	0.2952978541
287	0.2951909335
288	0.2951407828
289	0.2950627979
290	0.2948997751
291	0.2948313705
292	0.2947213527
293	0.29463961
294	0.2945832838
295	0.2945106556
296	0.2944535071
297	0.2943882657
298	0.2943220418
299	0.2942685632
300	0.2941589623
301	0.2940697118
302	0.2940224057
303	0.2939718518
304	0.2939044956
305	0.2937969724
306	0.2936960574
307	0.2935953913
308	0.293539964
309	0.2934950636
310	0.2934315086
311	0.2933520229
312	0.2932943562
313	0.2932450537
314	0.2931480086
315	0.2930762665
316	0.2930234992
317	0.2929582992
318	0.2928925384
319	0.2928105153
320	0.2927254472
321	0.2926801793
322	0.2926291802
323	0.2925429185
324	0.2924597848
325	0.2923701551
326	0.2923092901
327	0.2922448427
328	0.2921723454
329	0.292105518
330	0.2920523227
331	0.2919892816
332	0.2919235123
333	0.2918544085
334	0.2917831637
335	0.2917151063
336	0.2916628913
337	0.291597635
338	0.2915475762
339	0.2914700436
340	0.2913537386
341	0.2912773749
342	0.2912110567
343	0.2911519282
344	0.2910756074
345	0.2910453562
346	0.2909834324
347	0.290928221
348	0.2908263932
349	0.2907800551
350	0.2907051418
351	0.2906421592
352	0.2905912597
353	0.2905406689
354	0.2904824306
355	0.2903992515
