iter	Passed	Remaining
399	1566	391
400	1570	387
401	1574	383
402	1578	379
403	1581	375
404	1585	371
405	1588	367
406	1592	363
407	1596	359
408	1600	356
409	1604	352
410	1607	348
411	1611	344
412	1615	340
413	1619	336
414	1623	332
415	1627	328
416	1630	324
417	1634	320
418	1638	316
419	1641	312
420	1645	308
421	1648	304
422	1652	300
423	1656	296
424	1659	292
425	1663	289
426	1667	285
427	1671	281
428	1675	277
429	1678	273
430	1682	269
431	1686	265
432	1690	261
433	1694	257
434	1698	253
435	1701	249
436	1705	245
437	1709	241
438	1713	238
439	1717	234
440	1720	230
441	1724	226
442	1728	222
443	1731	218
444	1735	214
445	1739	210
446	1743	206
447	1747	202
448	1750	198
449	1754	194
450	1758	191
451	1762	187
452	1765	183
453	1769	179
454	1773	175
455	1777	171
456	1780	167
457	1784	163
458	1788	159
459	1791	155
460	1795	151
461	1799	148
462	1804	144
463	1807	140
464	1811	136
465	1815	132
466	1819	128
467	1823	124
468	1827	120
469	1830	116
470	1834	112
471	1838	109
472	1841	105
473	1845	101
474	1849	97
475	1853	93
476	1856	89
477	1860	85
478	1864	81
479	1868	77
480	1871	73
481	1875	70
482	1879	66
483	1883	62
484	1886	58
485	1890	54
486	1894	50
487	1898	46
488	1901	42
489	1905	38
490	1909	35
491	1913	31
492	1916	27
493	1920	23
494	1924	19
495	1927	15
496	1931	11
497	1935	7
498	1939	3
499	1944	0
